Player name	Game type	Positions	Outcome	Execution time	Instructions
pierre	1	1574416269.4919538,Game Start,<Pose <Position x: 0.00 y: 0.00 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.00 (angle_z: <Angle -0.00 radians (-0.03 degrees)>)> origin_id=17>;1574416276.644889,Player found,<Pose <Position x: 10.15 y: 4.80 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: 0.09 (angle_z: <Angle 0.17 radians (9.83 degrees)>)> origin_id=17>;1574416331.3657427,detect_cube,<Pose <Position x: -17.37 y: 19.05 z: 0.00> <Quaternion q0: 0.54 q1: 0.00 q2: 0.00 q3: 0.84 (angle_z: <Angle 2.00 radians (114.78 degrees)>)> origin_id=17>;1574416345.946745,pickup_cube,<Pose <Position x: -45.01 y: 150.80 z: 0.10> <Quaternion q0: 0.02 q1: 0.00 q2: 0.00 q3: -1.00 (angle_z: <Angle -3.09 radians (-177.18 degrees)>)> origin_id=17>;1574416347.4932573,turn_left,<Pose <Position x: -44.99 y: 151.59 z: 0.10> <Quaternion q0: 0.73 q1: 0.00 q2: 0.00 q3: -0.68 (angle_z: <Angle -1.51 radians (-86.40 degrees)>)> origin_id=17>;1574416347.4952366,detect_cube,<Pose <Position x: -44.99 y: 151.59 z: 0.10> <Quaternion q0: 0.73 q1: 0.00 q2: 0.00 q3: -0.68 (angle_z: <Angle -1.51 radians (-86.40 degrees)>)> origin_id=17>;1574416362.1624613,place_on_object,<Pose <Position x: -71.61 y: -126.59 z: 0.10> <Quaternion q0: 0.70 q1: 0.00 q2: 0.00 q3: -0.71 (angle_z: <Angle -1.58 radians (-90.45 degrees)>)> origin_id=17>;1574416364.4383683,move_backward,<Pose <Position x: -70.92 y: -22.60 z: 0.10> <Quaternion q0: 0.70 q1: 0.00 q2: 0.00 q3: -0.71 (angle_z: <Angle -1.58 radians (-90.42 degrees)>)> origin_id=17>	True	43.283236503601074	detect_cube;pickup_cube;turn_left;detect_cube;place_on_object;move_backward
        alexandr	1	1574417702.51995,Game Start,<Pose <Position x: 0.00 y: 0.00 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: 0.00 (angle_z: <Angle 0.00 radians (0.16 degrees)>)> origin_id=1>;1574417724.199987,Player found,<Pose <Position x: -2.70 y: 7.62 z: 0.00> <Quaternion q0: 0.97 q1: 0.00 q2: 0.00 q3: 0.23 (angle_z: <Angle 0.46 radians (26.29 degrees)>)> origin_id=1>;1574417784.451524,approach_cube,<Pose <Position x: -2.65 y: 7.65 z: 0.00> <Quaternion q0: 0.97 q1: 0.00 q2: 0.00 q3: 0.23 (angle_z: <Angle 0.46 radians (26.22 degrees)>)> origin_id=1>;1574417785.820635,turn_right,<Pose <Position x: -11.33 y: -19.08 z: 0.00> <Quaternion q0: 0.85 q1: 0.00 q2: 0.00 q3: -0.53 (angle_z: <Angle -1.12 radians (-64.02 degrees)>)> origin_id=1>;1574417787.1843793,turn_right,<Pose <Position x: -38.24 y: -10.44 z: 0.00> <Quaternion q0: 0.23 q1: 0.00 q2: 0.00 q3: -0.97 (angle_z: <Angle -2.68 radians (-153.55 degrees)>)> origin_id=1>	True	2.7329328060150146	approach_cube;turn_right;turn_right
        alexandr	1	1574417795.4186954,Game Start,<Pose <Position x: -2.76 y: 7.48 z: 0.00> <Quaternion q0: 0.97 q1: 0.00 q2: 0.00 q3: 0.23 (angle_z: <Angle 0.46 radians (26.27 degrees)>)> origin_id=1>;1574417799.6082654,Player found,<Pose <Position x: -4.53 y: -10.41 z: 0.00> <Quaternion q0: 0.97 q1: 0.00 q2: 0.00 q3: -0.26 (angle_z: <Angle -0.53 radians (-30.34 degrees)>)> origin_id=1>;1574417838.2716572,approach_cube,<Pose <Position x: -4.43 y: -10.48 z: 0.00> <Quaternion q0: 0.97 q1: 0.00 q2: 0.00 q3: -0.26 (angle_z: <Angle -0.53 radians (-30.23 degrees)>)> origin_id=1>;1574417838.2717125,approach_cube,<Pose <Position x: -4.43 y: -10.48 z: 0.00> <Quaternion q0: 0.97 q1: 0.00 q2: 0.00 q3: -0.26 (angle_z: <Angle -0.53 radians (-30.23 degrees)>)> origin_id=1>;1574417841.2133362,detect_cube,<Pose <Position x: -7.01 y: -14.96 z: 0.00> <Quaternion q0: 0.92 q1: 0.00 q2: 0.00 q3: -0.39 (angle_z: <Angle -0.79 radians (-45.35 degrees)>)> origin_id=1>	True	2.9417378902435303	approach_cube;approach_cube;detect_cube
        Alexandre	1	1574417872.3765252,Game Start,<Pose <Position x: -14.99 y: 2.47 z: 0.00> <Quaternion q0: 0.85 q1: 0.00 q2: 0.00 q3: -0.52 (angle_z: <Angle -1.10 radians (-63.07 degrees)>)> origin_id=1>;1574417880.0035574,Player found,<Pose <Position x: -13.38 y: 8.05 z: 0.00> <Quaternion q0: 0.92 q1: 0.00 q2: 0.00 q3: -0.39 (angle_z: <Angle -0.79 radians (-45.44 degrees)>)> origin_id=1>;1574417924.1306453,detect_cube,<Pose <Position x: -26.62 y: 1.99 z: 0.00> <Quaternion q0: 0.71 q1: 0.00 q2: 0.00 q3: -0.70 (angle_z: <Angle -1.56 radians (-89.34 degrees)>)> origin_id=1>;1574417926.5220165,move_forward,<Pose <Position x: -25.56 y: -100.42 z: 0.00> <Quaternion q0: 0.71 q1: 0.00 q2: 0.00 q3: -0.70 (angle_z: <Angle -1.56 radians (-89.35 degrees)>)> origin_id=1>;1574417926.5226874,lower_forklift,<Pose <Position x: -25.56 y: -100.42 z: 0.00> <Quaternion q0: 0.71 q1: 0.00 q2: 0.00 q3: -0.70 (angle_z: <Angle -1.56 radians (-89.35 degrees)>)> origin_id=1>;1574417926.5233662,raise_forklift,<Pose <Position x: -25.56 y: -100.42 z: 0.00> <Quaternion q0: 0.71 q1: 0.00 q2: 0.00 q3: -0.70 (angle_z: <Angle -1.56 radians (-89.35 degrees)>)> origin_id=1>	False	3.6693532466888428	do_interactive_game;do_interactive_game;detect_cube;move_forward;lower_forklift;raise_forklift;EOT
        Alex	1	1574417983.2108505,Game Start,<Pose <Position x: -12.01 y: 4.77 z: 0.00> <Quaternion q0: 0.93 q1: 0.00 q2: 0.00 q3: -0.38 (angle_z: <Angle -0.77 radians (-44.23 degrees)>)> origin_id=1>;1574417992.3416233,Player found,<Pose <Position x: -10.10 y: -7.65 z: 0.00> <Quaternion q0: 0.86 q1: 0.00 q2: 0.00 q3: -0.50 (angle_z: <Angle -1.06 radians (-60.62 degrees)>)> origin_id=1>;1574418034.7525237,detect_cube,<Pose <Position x: -7.08 y: -7.30 z: 0.00> <Quaternion q0: 0.90 q1: 0.00 q2: 0.00 q3: -0.44 (angle_z: <Angle -0.92 radians (-52.63 degrees)>)> origin_id=1>;1574418049.2843177,pickup_cube,<Pose <Position x: 101.68 y: -223.79 z: 0.00> <Quaternion q0: 0.93 q1: 0.00 q2: 0.00 q3: -0.36 (angle_z: <Angle -0.73 radians (-42.07 degrees)>)> origin_id=1>	True	17.23815155029297	detect_cube;pickup_cube
        Alex	1	1574418061.766906,Game Start,<Pose <Position x: -12.06 y: -5.40 z: 0.00> <Quaternion q0: 0.86 q1: 0.00 q2: 0.00 q3: -0.51 (angle_z: <Angle -1.07 radians (-61.58 degrees)>)> origin_id=1>;1574418065.7784493,Player found,<Pose <Position x: -7.32 y: -13.88 z: 0.00> <Quaternion q0: 0.86 q1: 0.00 q2: 0.00 q3: -0.51 (angle_z: <Angle -1.07 radians (-61.19 degrees)>)> origin_id=1>;1574418146.7253883,detect_cube,<Pose <Position x: -2.70 y: -11.29 z: 0.00> <Quaternion q0: 0.92 q1: 0.00 q2: 0.00 q3: -0.39 (angle_z: <Angle -0.81 radians (-46.51 degrees)>)> origin_id=1>;1574418178.8629422,pickup_cube,<Pose <Position x: 207.11 y: -224.13 z: 0.21> <Quaternion q0: 0.29 q1: 0.00 q2: 0.00 q3: -0.96 (angle_z: <Angle -2.55 radians (-146.32 degrees)>)> origin_id=1>;1574418178.8651426,detect_cube,<Pose <Position x: 207.11 y: -224.13 z: 0.21> <Quaternion q0: 0.29 q1: 0.00 q2: 0.00 q3: -0.96 (angle_z: <Angle -2.55 radians (-146.32 degrees)>)> origin_id=1>;1574418188.529514,place_on_object,<Pose <Position x: 227.04 y: -166.89 z: -0.84> <Quaternion q0: 0.40 q1: 0.00 q2: 0.00 q3: -0.92 (angle_z: <Angle -2.32 radians (-132.87 degrees)>)> origin_id=1>;1574418191.051527,move_backward,<Pose <Position x: 297.45 y: -90.97 z: -0.84> <Quaternion q0: 0.40 q1: 0.00 q2: 0.00 q3: -0.92 (angle_z: <Angle -2.32 radians (-133.11 degrees)>)> origin_id=1>	False	47.268125772476196	detect_cube;pickup_cube;detect_cube;place_on_object;move_backward
        Alexandre	0	1574418212.234961,Game Start,<Pose <Position x: -21.25 y: -19.10 z: -0.84> <Quaternion q0: 0.81 q1: 0.00 q2: 0.00 q3: -0.58 (angle_z: <Angle -1.24 radians (-71.24 degrees)>)> origin_id=1>;1574418219.725314,Player found,<Pose <Position x: -17.74 y: -14.92 z: -0.84> <Quaternion q0: 0.90 q1: 0.00 q2: 0.00 q3: -0.44 (angle_z: <Angle -0.90 radians (-51.81 degrees)>)> origin_id=1>	True	55.89376521110535	
        Katia	0	1574418585.6579988,Game Start,<Pose <Position x: 0.00 y: 0.00 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: 0.00 (angle_z: <Angle 0.01 radians (0.41 degrees)>)> origin_id=3>;1574418598.7459493,Player found,<Pose <Position x: -4.94 y: 1.24 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: 0.04 (angle_z: <Angle 0.08 radians (4.57 degrees)>)> origin_id=3>	True	39.35779356956482	
        Katia	1	1574418676.8619251,Game Start,<Pose <Position x: -9.60 y: 1.43 z: -16.23> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: 0.05 (angle_z: <Angle 0.09 radians (5.39 degrees)>)> origin_id=3>;1574418684.2138016,Player found,<Pose <Position x: -18.94 y: -13.84 z: -16.23> <Quaternion q0: 0.89 q1: 0.00 q2: 0.00 q3: -0.45 (angle_z: <Angle -0.93 radians (-53.05 degrees)>)> origin_id=3>;1574418789.3165095,detect_cube,<Pose <Position x: -11.49 y: -2.66 z: -16.23> <Quaternion q0: 0.99 q1: 0.00 q2: 0.00 q3: -0.11 (angle_z: <Angle -0.22 radians (-12.57 degrees)>)> origin_id=3>;1574418790.645217,turn_left,<Pose <Position x: -26.63 y: 21.43 z: -16.23> <Quaternion q0: 0.78 q1: 0.00 q2: 0.00 q3: 0.62 (angle_z: <Angle 1.35 radians (77.10 degrees)>)> origin_id=3>;1574418792.9823341,move_forward,<Pose <Position x: -3.87 y: 120.77 z: -16.23> <Quaternion q0: 0.78 q1: 0.00 q2: 0.00 q3: 0.62 (angle_z: <Angle 1.35 radians (77.30 degrees)>)> origin_id=3>;1574418810.1151652,pickup_cube,<Pose <Position x: 256.57 y: -109.63 z: -18.13> <Quaternion q0: 0.73 q1: 0.00 q2: 0.00 q3: -0.68 (angle_z: <Angle -1.51 radians (-86.35 degrees)>)> origin_id=3>;1574418811.3426678,turn_right,<Pose <Position x: 256.06 y: -109.89 z: -18.13> <Quaternion q0: 0.04 q1: 0.00 q2: 0.00 q3: -1.00 (angle_z: <Angle -3.06 radians (-175.61 degrees)>)> origin_id=3>;1574418813.0219584,turn_right,<Pose <Position x: 255.70 y: -111.02 z: -18.13> <Quaternion q0: 0.68 q1: 0.00 q2: 0.00 q3: 0.74 (angle_z: <Angle 1.66 radians (94.83 degrees)>)> origin_id=3>;1574418813.0230405,lower_forklift,<Pose <Position x: 255.70 y: -111.02 z: -18.13> <Quaternion q0: 0.68 q1: 0.00 q2: 0.00 q3: 0.74 (angle_z: <Angle 1.66 radians (94.83 degrees)>)> origin_id=3>	True	24.83661985397339	detect_cube;turn_left;move_forward;pickup_cube;turn_right;turn_right;lower_forklift
        Gordon	1	1574418986.9922118,Game Start,<Pose <Position x: 0.00 y: 0.00 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.03 (angle_z: <Angle -0.07 radians (-3.79 degrees)>)> origin_id=5>;1574418992.6337738,Player found,<Pose <Position x: -2.76 y: 0.65 z: 0.00> <Quaternion q0: 0.99 q1: 0.00 q2: 0.00 q3: -0.13 (angle_z: <Angle -0.25 radians (-14.45 degrees)>)> origin_id=5>;1574419053.001526,detect_cube,<Pose <Position x: -0.03 y: 0.06 z: 0.00> <Quaternion q0: 0.99 q1: 0.00 q2: 0.00 q3: 0.10 (angle_z: <Angle 0.21 radians (11.83 degrees)>)> origin_id=7>;1574419075.563,pickup_cube,<Pose <Position x: 276.62 y: 67.76 z: -1.48> <Quaternion q0: 0.99 q1: 0.00 q2: 0.00 q3: 0.15 (angle_z: <Angle 0.30 radians (17.42 degrees)>)> origin_id=7>;1574419077.1178653,turn_left,<Pose <Position x: 275.80 y: 67.92 z: -1.48> <Quaternion q0: 0.59 q1: 0.00 q2: 0.00 q3: 0.81 (angle_z: <Angle 1.88 radians (107.56 degrees)>)> origin_id=7>;1574419080.192223,move_forward,<Pose <Position x: 245.44 y: 163.68 z: -1.68> <Quaternion q0: 0.57 q1: 0.00 q2: 0.00 q3: 0.82 (angle_z: <Angle 1.92 radians (109.99 degrees)>)> origin_id=7>;1574419080.1931438,lower_forklift,<Pose <Position x: 245.44 y: 163.68 z: -1.68> <Quaternion q0: 0.57 q1: 0.00 q2: 0.00 q3: 0.82 (angle_z: <Angle 1.92 radians (109.99 degrees)>)> origin_id=7>	True	29.867395877838135	detect_cube;pickup_cube;turn_left;move_forward;lower_forklift
